PXS;Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí;Năng lượng;0
PXT;Công ty Cổ phần Xây lắp Đường ống Bể chứa Dầu khí;Năng lượng;0
AGR;Công ty Cổ phần Chứng khoán Agribank;Tài chính;0
APG;Công ty Cổ phần Chứng khoán APG;Tài chính;0
BIC;Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam;Tài chính;0
BID;Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam;Tài chính;1
BMI;Tổng Công ty Cổ phần Bảo Minh;Tài chính;0
BSI;Công ty Cổ phần Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam;Tài chính;0
BVH;Tập đoàn Bảo Việt;Tài chính;0
CTG;Ngân hàng Thương mại Cổ phần Công Thương Việt Nam;Tài chính;1
CTS;Công ty Cổ phần Chứng khoán Ngân hàng Công Thương Việt Nam;Tài chính;0
EIB;Ngân hàng Thương mại Cổ phần Xuất Nhập khẩu Việt Nam;Tài chính;1
FIT;Công ty Cổ phần Tập đoàn F.I.T;Tài chính;0
FTS;Công ty Cổ phần Chứng khoán FPT;Tài chính;0
HCM;Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh;Tài chính;0
HDB;Ngân hàng TMCP Phát triển TP.Hồ Chí Minh;Tài chính;1
MBB;Ngân hàng Thương mại Cổ phần Quân Đội;Tài chính;1
OGC;Công ty Cổ phần Tập đoàn Đại Dương;Tài chính;0
PGI;Tổng Công ty Cổ phần Bảo hiểm Petrolimex;Tài chính;0
SSI;Công ty Cổ phần Chứng khoán SSI;Tài chính;1
STB;Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín;Tài chính;1
TCB;Ngân hàng TMCP Kỹ Thương Việt Nam;Tài chính;1
TPB;Ngân hàng Thương mại Cổ phần Tiên Phong;Tài chính;0
TVB;Công ty Cổ phần Chứng khoán Trí Việt;Tài chính;0
TVS;Công ty Cổ phần Chứng khoán Thiên Việt;Tài chính;0
VCB;Ngân hàng TMCP Ngoại Thương Việt Nam;Tài chính;1
VCI;Công ty Cổ phần Chứng khoán Bản Việt;Tài chính;0
VDS;Công ty Cổ phần Chứng khoán Rồng Việt;Tài chính;0
VND;Công ty Cổ phần Chứng khoán VNDIRECT;Tài chính;0
VPB;Ngân hàng TMCP Việt Nam Thịnh Vượng;Tài chính;1
DBD;Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định;Chăm sóc sức khỏe;0
DBT;Công ty Cổ phần Dược phẩm Bến Tre;Chăm sóc sức khỏe;0
DHG;Công ty Cổ phần Dược Hậu Giang;Chăm sóc sức khỏe;0
DMC;Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO;Chăm sóc sức khỏe;0
IMP;Công ty Cổ phần Dược phẩm Imexpharm;Chăm sóc sức khỏe;0
JVC;Công ty Cổ phần Thiết bị Y tế Việt Nhật;Chăm sóc sức khỏe;0
OPC;Công ty Cổ phần Dược phẩm OPC;Chăm sóc sức khỏe;0
PME;Công ty Cổ phần Pymepharco;Chăm sóc sức khỏe;0
SPM;Công ty Cổ phần SPM;Chăm sóc sức khỏe;0
TRA;Công ty Cổ phần Traphaco;Chăm sóc sức khỏe;0
VDP;Công ty Cổ phần Dược phẩm Trung Ương Vidipha;Chăm sóc sức khỏe;0
VMD;Công ty Cổ phần Y Dược phẩm Vimedimex;Chăm sóc sức khỏe;0
CMG;Công ty Cổ phần Tập đoàn Công nghệ CMC;Công nghệ thông tin;0
DGW;Công ty Cổ phần Thế Giới Số;Công nghệ thông tin;0
ELC;Công ty Cổ phần Đầu tư Phát triển Công nghệ Điện tử - Viễn thông;Công nghệ thông tin;0
FPT;Công ty Cổ phần FPT;Công nghệ thông tin;1
AAA;Công ty Cổ phần Nhựa An Phát Xanh;Nguyên vật liệu;0
ACC;Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC;Nguyên vật liệu;0
ATG;Công ty Cổ phần An Trường An;Nguyên vật liệu;0
BFC;Công ty Cổ phần Phân bón Bình Điền;Nguyên vật liệu;0
BMC;Công ty Cổ phần Khoáng sản Bình Định;Nguyên vật liệu;0
CRC;Công ty Cổ phần Create Capital Việt Nam;Nguyên vật liệu;0
CSV;Công ty Cổ phần Hóa chất cơ bản miền Nam;Nguyên vật liệu;0
CTI;Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO;Nguyên vật liệu;0
CVT;Công ty Cổ phần CMC;Nguyên vật liệu;0
